match_id,team,possession,foul,throw_in,offside,long_pass,corner,yellow_card,red_card,second_yellow_card,shot_on_target,shot_off_target,blocked_shot,counter_attack,goalkeeper_save,goal_kick,medical_care
1,Argentina,54,26,25,4,15,6,5,0,0,10,6,4,7,2,6,1
1,Pháp,46,19,22,4,15,5,3,0,0,5,2,3,2,7,13,2
2,Qatar,40,15,20,3,4,1,4,0,0,0,5,0,0,1,4,0
2,Ecuador,60,15,16,4,15,3,2,0,0,3,3,0,3,0,7,6
3,ĐT Anh,69,9,17,2,23,8,0,0,0,7,3,3,3,1,5,5
3,Iran,31,14,15,2,9,0,2,0,0,3,4,1,4,1,5,6
4,Senegal,45,6,2,13,18,2,14,6,2,0,0,4,7,4,1,1
4,ĐT Hà Lan,55,8,0,14,23,1,21,7,1,0,0,3,4,3,2,4
5,Mỹ,47,15,23,1,25,5,4,0,0,1,4,1,1,2,5,1
5,Wales,53,10,23,1,14,3,2,0,0,3,3,1,1,0,10,7
6,Argentina,66,7,25,10,27,9,0,0,0,6,6,3,2,0,3,0
6,Ả Rập Xê-út,34,21,11,1,9,2,6,0,0,2,0,1,0,5,7,10
7,ĐT Đan Mạch,60,9,24,1,26,11,2,0,0,5,4,2,1,1,6,0
7,Tunisia,40,10,25,1,9,9,1,0,0,1,5,7,3,5,7,0
8,Mexico,58,14,21,3,22,6,2,0,0,4,4,4,2,2,7,1
8,Ba Lan,42,15,23,0,13,5,1,0,0,2,1,3,1,4,9,4
9,ĐT Pháp,63,6,2,5,17,0,28,8,0,0,0,6,8,10,1,0
9,Australia,37,9,0,11,21,0,9,1,3,0,0,1,3,0,0,2
10,Ma rốc,36,17,21,0,10,0,1,0,0,2,0,5,2,2,5,4
10,Croatia,64,11,26,1,18,5,0,0,0,2,2,2,3,2,5,1
11,ĐT Đức,74,6,32,4,32,6,0,0,0,8,10,7,2,2,8,0
11,Nhật Bản,26,14,10,4,11,6,0,0,0,4,4,4,3,7,9,0
12,ĐT Tây Ban Nha,76,8,23,4,18,5,0,0,0,8,7,2,0,0,0,0
12,Costa Rica,24,12,12,7,6,0,2,0,0,0,0,0,0,1,9,0
13,ĐT Bỉ,46,11,16,0,7,4,3,0,0,3,3,3,2,4,18,1
13,Canada,54,14,28,1,16,4,2,0,0,4,11,7,1,2,7,0
14,Thụy Sĩ,51,12,14,2,22,11,2,0,0,3,4,1,7,4,6,0
14,Cameroon,49,10,12,2,20,5,1,0,0,4,2,1,3,2,9,0
15,Uruguay,57,7,22,1,20,4,1,0,0,0,8,2,6,0,7,0
15,Hàn Quốc,43,10,27,0,12,3,1,0,0,0,5,1,4,0,9,7
16,ĐT Bồ Đào Nha,62,14,8,1,18,3,2,0,0,5,3,3,7,1,6,2
16,Ghana,38,19,9,1,8,3,4,0,0,3,4,1,4,2,12,0
17,Brazil,63,7,25,1,12,6,0,0,0,10,9,5,2,0,5,0
17,Serbia,37,12,15,0,9,4,3,0,0,0,3,2,1,8,10,0
18,Wales,56,9,28,2,17,2,1,1,0,3,2,3,0,4,7,3
18,Iran,44,10,18,2,22,7,2,0,0,6,4,11,13,3,8,7
19,Qatar,45,7,17,4,16,6,3,0,0,3,5,1,1,2,11,9
19,Senegal,55,12,19,3,16,7,3,0,0,5,5,3,1,2,8,1
20,ĐT Hà Lan,54,15,21,1,8,2,0,0,0,1,1,0,0,3,7,0
20,Ecuador,46,12,26,4,18,5,1,0,0,4,4,6,0,0,5,4
21,ĐT Anh,55,1,1,1,7,0,9,18,1,20,3,0,0,0,3,4
21,Mỹ,45,4,5,3,3,0,15,16,0,16,7,0,0,0,1,5
22,Tunisia,54,16,39,3,19,5,3,0,0,4,4,5,2,1,5,5
22,Australia,46,15,21,0,17,2,0,0,0,2,3,1,4,4,8,3
23,Ba Lan,41,18,21,0,12,4,3,0,0,3,4,2,2,5,18,0
23,Ả Rập Xê-út,59,15,21,0,21,5,2,0,0,5,8,3,3,1,7,12
24,ĐT Pháp,49,0,0,6,6,8,4,1,10,4,4,22,1,23,6,1
24,ĐT Đan Mạch,51,0,0,2,6,2,1,4,6,1,9,22,1,16,4,2
25,Argentina,60,0,3,1,7,0,15,21,2,10,4,1,0,0,3,3
25,Mexico,40,1,3,1,8,1,19,19,4,15,2,4,0,0,1,2
26,Nhật Bản,58,22,20,0,17,5,3,0,0,3,5,6,0,0,4,0
26,Costa Rica,42,9,15,2,8,0,3,0,0,1,1,2,0,3,11,1
27,ĐT Bỉ,62,10,17,3,24,9,1,0,0,4,4,2,5,2,10,1
27,Ma rốc,38,14,8,3,11,1,1,0,0,4,6,0,6,4,13,0
28,Croatia,48,33,1,26,5,2,0,0,10,3,0,8,1,3,3,13
28,Canada,52,25,3,20,2,2,0,0,2,3,3,2,6,4,3,5
29,ĐT Tây Ban Nha,64,13,23,2,10,6,1,0,0,3,2,2,8,3,9,0
29,ĐT Đức,36,11,15,5,13,5,3,0,0,4,4,3,1,2,5,1
30,Cameroon,42,8,24,0,8,4,2,0,0,8,2,3,5,3,9,3
30,Serbia,58,13,20,4,14,3,2,0,0,6,7,2,1,5,4,2
31,Hàn Quốc,58,13,23,1,37,12,2,0,0,6,5,9,2,0,3,4
31,Ghana,42,9,13,1,18,5,2,0,0,3,4,0,3,4,10,2
32,Brazil,59,21,8,1,0,0,5,1,3,4,0,2,0,10,24,3
32,Thụy Sĩ,41,13,3,1,0,0,0,0,4,0,4,10,0,17,19,1
33,ĐT Bồ Đào Nha,55,10,19,3,14,6,3,0,0,4,5,6,3,3,8,6
33,Uruguay,45,16,18,0,16,2,2,0,0,3,7,1,2,2,11,0
34,Ecuador,61,23,23,0,16,3,0,0,0,4,2,2,1,4,9,7
34,Senegal,39,11,17,3,18,6,1,0,0,6,5,4,1,3,6,1
35,ĐT Hà Lan,63,19,13,5,7,4,1,0,0,4,5,3,0,4,7,0
35,Qatar,37,9,13,0,13,2,0,0,0,4,2,0,2,2,9,2
36,Wales,36,16,18,1,2,1,2,0,0,1,3,3,0,4,7,5
36,ĐT Anh,64,9,16,1,17,6,0,0,0,7,7,4,2,1,4,1
37,Iran,49,13,20,2,18,1,3,0,0,1,4,1,2,4,9,4
37,Mỹ,51,10,22,1,19,5,1,0,0,5,4,3,3,1,10,5
38,Tunisia,34,8,5,14,30,3,22,7,1,0,0,2,3,0,6,3
38,ĐT Pháp,66,9,3,6,27,2,15,8,0,0,0,3,2,4,4,1
39,Australia,31,10,0,11,32,1,14,2,2,0,0,4,1,3,3,2
39,ĐT Đan Mạch,69,4,0,10,27,3,22,6,1,0,0,2,5,5,1,3
40,Ba Lan,27,6,16,0,5,1,1,0,0,0,1,2,0,9,10,0
40,Argentina,73,11,18,1,29,9,1,0,0,12,7,5,4,0,2,0
41,Ả Rập Xê-út,39,20,26,2,7,1,6,0,0,2,7,1,1,8,14,9
41,Mexico,61,18,23,6,20,8,1,0,0,10,5,11,0,1,11,0
42,Canada,59,15,23,3,18,6,4,0,0,0,4,1,1,0,5,0
42,Ma rốc,41,14,20,4,7,2,0,0,0,2,2,2,7,0,6,1
43,Croatia,48,7,27,4,18,2,0,0,0,4,6,1,2,4,7,0
43,ĐT Bỉ,52,9,15,0,20,4,1,0,0,4,7,5,2,4,8,0
44,Costa Rica,31,3,15,4,7,1,1,0,0,5,2,1,1,7,14,0
44,ĐT Đức,69,9,18,3,31,14,0,0,0,11,15,5,0,4,2,0
45,Nhật Bản,18,9,11,2,5,0,3,0,0,3,2,1,4,4,5,0
45,ĐT Tây Ban Nha,82,6,22,2,18,2,0,0,0,5,2,5,0,1,5,0
46,Ghana,53,18,31,2,13,5,2,0,0,4,3,2,2,4,7,1
46,Uruguay,47,11,24,2,9,2,5,0,0,6,5,1,1,4,6,2
47,Hàn Quốc,38,3,4,1,4,9,4,9,15,1,13,5,2,0,0,6
47,ĐT Bồ Đào Nha,62,3,4,1,4,7,3,11,20,5,19,4,0,0,0,5
48,Cameroon,35,14,11,0,13,3,3,1,0,3,3,1,1,8,16,4
48,Brazil,65,14,15,1,32,11,2,0,0,8,10,4,6,2,6,4
49,Serbia,53,18,23,0,21,2,7,0,0,4,5,2,3,4,7,2
49,Thụy Sĩ,47,13,22,0,9,0,4,0,0,7,4,3,3,2,8,0
50,Hà Lan,42,10,16,0,13,4,2,0,0,6,4,2,6,6,8,0
50,Mỹ,58,5,21,3,27,5,0,0,0,7,4,5,3,3,6,3
51,Argentina,61,8,24,4,5,1,0,0,0,5,7,2,0,1,4,0
51,Australia,39,15,24,0,16,3,2,0,0,1,1,3,0,3,10,0
52,Pháp,55,10,19,3,28,7,1,0,0,7,6,3,7,1,11,0
52,Ba Lan,45,8,13,1,14,1,2,0,0,3,4,4,0,4,4,0
53,ĐT Anh,61,16,18,0,15,3,0,0,0,4,4,0,7,1,11,0
53,Senegal,39,12,16,0,11,3,1,0,0,1,5,4,1,1,8,0
54,Nhật Bản,42,13,29,3,26,8,0,0,0,4,4,4,7,3,8,0
54,Croatia,58,16,28,0,35,5,2,0,0,4,6,7,0,3,9,1
55,Brazil,53,8,15,0,15,5,0,0,0,10,6,2,7,5,6,0
55,Hàn Quốc,47,13,13,5,12,4,1,0,0,6,2,0,0,6,8,0
56,Ma rốc,25,15,29,5,9,0,1,0,0,3,3,0,1,2,13,4
56,Tây Ban Nha,75,14,33,4,32,8,1,0,0,2,6,6,1,3,10,3
57,Bồ Đào Nha,48,12,18,3,12,6,0,0,0,9,2,3,1,0,7,0
57,Thụy Sĩ,52,10,27,3,10,6,2,0,0,1,4,5,0,3,5,5
58,Croatia,51,13,14,2,16,6,0,0,0,4,7,2,0,1,12,5
58,Ma rốc,49,11,19,2,15,3,2,0,0,2,4,1,0,2,11,1
59,Croatia,52,22,13,3,19,3,2,0,0,1,5,3,7,10,10,0
59,Brazil,48,24,24,3,23,7,3,0,0,11,3,5,3,0,7,0
60,Hà Lan,53,30,29,1,23,2,6,1,0,2,1,3,2,4,9,0
60,Argentina,47,18,19,2,13,8,8,0,0,6,6,3,2,0,9,1
61,Ma rốc,27,15,11,2,6,3,1,1,0,3,6,0,2,3,15,7
61,Bồ Đào Nha,73,9,27,2,32,9,1,0,0,3,6,2,0,2,9,0
62,Anh,57,10,16,1,18,5,1,0,0,7,4,4,0,3,9,1
62,Pháp,43,14,14,2,12,2,3,0,0,5,2,1,1,6,5,0
63,Argentina,39,15,19,1,7,2,2,0,0,7,1,2,5,2,9,0
63,Croatia,61,8,21,0,18,4,2,0,0,2,7,3,2,4,4,0
64,Pháp,39,11,14,4,6,2,0,0,0,2,7,6,7,2,8,5
64,Ma rốc,61,11,18,3,20,3,1,0,0,2,5,6,2,0,10,0
